146	R3	255	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
147	R4	264a	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
148	R5	265	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
149	R6	351a	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
150	R7	351b	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.414421	2015-05-21 19:27:16.414421
151	R8	352	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
152	R9	309/ videoneuvottelu	\N	Rakentajanaukio 4	60.18714	24.83099	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
153	Teknillinen fysiikka	\N	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
154	Auditorio	F239a	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
155	F115	F115	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
156	F122	F122	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
157	F138	F138	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
158	F158	F158	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
159	F178a	F178a	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.430047	2015-05-21 19:27:16.430047
160	F227	F227	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
161	F254	F254	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
162	F255	F255	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
163	F257	F257	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
164	F258	F258	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
165	F259	F259	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
166	F301b	F301b	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
